date,link,titles,news_date,category
https://www.nytimes.com/issue/todayspaper/2019/04/01/todays-new-york-times,/2019/04/01/health/sacklers-oxycontin-lawsuits.html,Lawsuits Lay Bare Sackler Family’s Role in Opioid Crisis,2019/04/01,health
https://www.nytimes.com/issue/todayspaper/2019/04/01/todays-new-york-times,/2019/03/31/us/midwest-floods-levees.html,"‘Breaches Everywhere’: Flooding Bursts Midwest Levees, and Tough Questions Follow",2019/04/01,us
https://www.nytimes.com/issue/todayspaper/2019/04/01/todays-new-york-times,/2019/03/31/nyregion/budget-new-york-congestion-pricing.html,"New York State Budget Deal Brings Congestion Pricing, Plastic Bag Ban and Mansion Tax",2019/04/01,nyregion
https://www.nytimes.com/issue/todayspaper/2019/04/01/todays-new-york-times,/2019/03/31/world/africa/russia-military-africa.html,Russia’s Military Mission Creep Advances to a New Front: Africa,2019/04/01,world
https://www.nytimes.com/issue/todayspaper/2019/04/01/todays-new-york-times,/2019/03/31/us/politics/joe-biden-flores.html,Joe Biden Scrambles to Stem Crisis After Lucy Flores’s Allegation,2019/04/01,us
https://www.nytimes.com/issue/todayspaper/2019/04/01/todays-new-york-times,/2019/03/31/sports/avenatti-nike-trump-cases.html,Michael Avenatti’s Biggest Case Yet: His Own,2019/04/01,sports
https://www.nytimes.com/issue/todayspaper/2019/04/01/todays-new-york-times,/2019/03/31/world/europe/michou-france-paris-montmartre.html,"The ‘Blue Prince of Montmartre,’ at 87, Still Rules Parisian Demimonde",2019/04/01,world
https://www.nytimes.com/issue/todayspaper/2019/04/01/todays-new-york-times,/2019/03/31/world/europe/italian-minister-pans-hit-song-by-an-immigrants-son.html,Italian Minister Pans Hit Song by an Immigrant’s Son,2019/04/01,world
https://www.nytimes.com/issue/todayspaper/2019/04/01/todays-new-york-times,/2019/03/31/us/politics/elizabeth-warren-fundraising.html,Elizabeth Warren Loses Finance Director as She Struggles in Early Fund-Raising,2019/04/01,us
https://www.nytimes.com/issue/todayspaper/2019/04/01/todays-new-york-times,/2019/03/30/us/politics/matt-gaetz-trump.html,Matt Gaetz Is a Congressman Liberals Love to Loathe. It’s All Part of the Plan.,2019/04/01,us
https://www.nytimes.com/issue/todayspaper/2019/04/01/todays-new-york-times,/2019/03/31/nyregion/karina-vetrano-trial.html,"‘Race-Biased Dragnet’: DNA From 360 Black Men Was Collected to Solve Vetrano Murder, Defense Lawyers Say",2019/04/01,nyregion
https://www.nytimes.com/issue/todayspaper/2019/04/01/todays-new-york-times,/2019/03/31/business/media/plagiarism-music-songwriters.html,"‘Blurred Lines’ on Their Minds, Songwriters Create Nervously",2019/04/01,business
https://www.nytimes.com/issue/todayspaper/2019/04/01/todays-new-york-times,/2019/03/31/business/law-firms-brexit.html,Brexit Is Messy. London’s Lawyers Are Cashing In.,2019/04/01,business
https://www.nytimes.com/issue/todayspaper/2019/04/01/todays-new-york-times,/2019/03/31/obituaries/kenneth-a-gibson-dead-at-86.html,"Kenneth Gibson, 86, Dies; Newark Mayor Broke Race Barrier in Northeast",2019/04/01,obituaries
https://www.nytimes.com/issue/todayspaper/2019/04/01/todays-new-york-times,/2019/03/31/arts/television/twilight-zone-review.html,Review: A ‘Twilight Zone’ Trying to Find Its Dimension,2019/04/01,arts
https://www.nytimes.com/issue/todayspaper/2019/04/01/todays-new-york-times,/2019/03/31/sports/duke-michigan-state-ncaa-tournament.html,Michigan State Heads to Final Four After Banding Together to Shock Duke,2019/04/01,sports
https://www.nytimes.com/issue/todayspaper/2019/04/01/todays-new-york-times,/2019/03/31/sports/kentucky-auburn-ncaa-tournament.html,Auburn Makes Its First Final Four by Beating Kentucky,2019/04/01,sports
https://www.nytimes.com/issue/todayspaper/2019/04/02/todays-new-york-times,/2019/04/01/business/british-business-brexit.html,"For Many British Businesses, Brexit Has Already Happened",2019/04/02,business
https://www.nytimes.com/issue/todayspaper/2019/04/02/todays-new-york-times,/2019/04/01/world/europe/turkey-erdogan-election-loss.html,A Political Quake in Turkey as Erdogan’s Party Loses in His Home Base of Support,2019/04/02,world
https://www.nytimes.com/issue/todayspaper/2019/04/02/todays-new-york-times,/2019/04/01/us/politics/trump-security-clearances.html,White House Whistle-Blower Tells Congress of Irregularities in Security Clearances,2019/04/02,us
https://www.nytimes.com/issue/todayspaper/2019/04/02/todays-new-york-times,/2019/04/01/world/americas/mexico-migration-border.html,"Migration Surge From Central America Was Spurred, in Part, by Mexican Policies",2019/04/02,world
https://www.nytimes.com/issue/todayspaper/2019/04/02/todays-new-york-times,/2019/04/01/technology/india-elections-facebook.html,"In India Election, False Posts and Hate Speech Flummox Facebook",2019/04/02,technology
https://www.nytimes.com/issue/todayspaper/2019/04/02/todays-new-york-times,/2019/04/01/nyregion/new-york-congestion-pricing.html,Congestion Pricing: N.Y. Embraced It. Will Other Clogged Cities Follow?,2019/04/02,nyregion
https://www.nytimes.com/issue/todayspaper/2019/04/02/todays-new-york-times,/2019/04/01/world/canada/china-dissident-harassment-sheng-xue.html,Chinese Dissidents Feel Heat of Beijing’s Wrath. Even in Canada.,2019/04/02,world
https://www.nytimes.com/issue/todayspaper/2019/04/02/todays-new-york-times,/2019/04/01/world/europe/uk-parliament-soft-brexit-may.html,U.K. Parliament Votes Down Alternative Brexit Deals,2019/04/02,world
https://www.nytimes.com/issue/todayspaper/2019/04/02/todays-new-york-times,/2019/04/01/us/politics/puerto-rico-aid.html,Impasse Over Aid for Puerto Rico Stalls Billions in Federal Disaster Relief,2019/04/02,us
https://www.nytimes.com/issue/todayspaper/2019/04/02/todays-new-york-times,/2019/04/01/us/beatrice-six-nebraska.html,A Rural County Owes $28 Million for Wrongful Convictions. It Doesn’t Want to Pay.,2019/04/02,us
https://www.nytimes.com/issue/todayspaper/2019/04/02/todays-new-york-times,/2019/04/01/us/politics/joe-biden-amy-lappos.html,A Second Woman Says Biden’s Touching Made Her Uncomfortable,2019/04/02,us
https://www.nytimes.com/issue/todayspaper/2019/04/02/todays-new-york-times,/2019/04/01/us/politics/trump-putin-venezuela-red-line.html,"Trump, Putin and a Possible ‘Red-Line Moment’ in Venezuela",2019/04/02,us
