titles,news_date,category
Lawsuits Lay Bare Sackler Family’s Role in Opioid Crisis,2019/04/01,health
"‘Breaches Everywhere’: Flooding Bursts Midwest Levees, and Tough Questions Follow",2019/04/01,us
"New York State Budget Deal Brings Congestion Pricing, Plastic Bag Ban and Mansion Tax",2019/04/01,nyregion
Russia’s Military Mission Creep Advances to a New Front: Africa,2019/04/01,world
Joe Biden Scrambles to Stem Crisis After Lucy Flores’s Allegation,2019/04/01,us
Michael Avenatti’s Biggest Case Yet: His Own,2019/04/01,sports
"The ‘Blue Prince of Montmartre,’ at 87, Still Rules Parisian Demimonde",2019/04/01,world
Italian Minister Pans Hit Song by an Immigrant’s Son,2019/04/01,world
Elizabeth Warren Loses Finance Director as She Struggles in Early Fund-Raising,2019/04/01,us
Matt Gaetz Is a Congressman Liberals Love to Loathe. It’s All Part of the Plan.,2019/04/01,us
"‘Race-Biased Dragnet’: DNA From 360 Black Men Was Collected to Solve Vetrano Murder, Defense Lawyers Say",2019/04/01,nyregion
"‘Blurred Lines’ on Their Minds, Songwriters Create Nervously",2019/04/01,business
Brexit Is Messy. London’s Lawyers Are Cashing In.,2019/04/01,business
"Kenneth Gibson, 86, Dies; Newark Mayor Broke Race Barrier in Northeast",2019/04/01,obituaries
Review: A ‘Twilight Zone’ Trying to Find Its Dimension,2019/04/01,arts
Michigan State Heads to Final Four After Banding Together to Shock Duke,2019/04/01,sports
Auburn Makes Its First Final Four by Beating Kentucky,2019/04/01,sports
"For Many British Businesses, Brexit Has Already Happened",2019/04/02,business
A Political Quake in Turkey as Erdogan’s Party Loses in His Home Base of Support,2019/04/02,world
White House Whistle-Blower Tells Congress of Irregularities in Security Clearances,2019/04/02,us
"Migration Surge From Central America Was Spurred, in Part, by Mexican Policies",2019/04/02,world
"In India Election, False Posts and Hate Speech Flummox Facebook",2019/04/02,technology
Congestion Pricing: N.Y. Embraced It. Will Other Clogged Cities Follow?,2019/04/02,nyregion
Chinese Dissidents Feel Heat of Beijing’s Wrath. Even in Canada.,2019/04/02,world
U.K. Parliament Votes Down Alternative Brexit Deals,2019/04/02,world
Impasse Over Aid for Puerto Rico Stalls Billions in Federal Disaster Relief,2019/04/02,us
A Rural County Owes $28 Million for Wrongful Convictions. It Doesn’t Want to Pay.,2019/04/02,us
A Second Woman Says Biden’s Touching Made Her Uncomfortable,2019/04/02,us
"Trump, Putin and a Possible ‘Red-Line Moment’ in Venezuela",2019/04/02,us
"Algeria’s Ruler, Abdelaziz Bouteflika, Agrees to Resign",2019/04/02,world
Slave Owners’ Names Are on Dorms at a SUNY School. That’s Changing.,2019/04/02,nyregion
China Purchases Could Undercut Trump’s Larger Trade Goal,2019/04/02,us
Behold the Beefless ‘Impossible Whopper’,2019/04/02,technology
"As ‘Jane the Virgin’ and ‘Crazy Ex-Girlfriend’ End, Two Groundbreaking TV Characters Say Goodbye",2019/04/02,arts
Death of Another Horse at Santa Anita Rocks the Racing Industry,2019/04/02,sports
Trump Retreats on Health Care After McConnell Warns It Won’t Happen,2019/04/03,us
Theresa May Will Reach Out to Corbyn in Bid to Avoid Disorderly Brexit,2019/04/03,world
A Key to the Arctic’s Oil Riches Lies Hidden in Ohio,2019/04/03,us
Biden’s Tactile Politics Threaten His Return in the #MeToo Era,2019/04/03,us
"Lori Lightfoot Is Elected Chicago Mayor, Becoming First Black Woman to Lead City",2019/04/03,us
‘It Just Went Poof’: The Strange Aftermath of Virginia’s Cascade of Political Scandals,2019/04/03,us
Drug Sites Upend Doctor-Patient Relations: ‘It’s Restaurant-Menu Medicine’,2019/04/03,technology
"Between Two Boeing Crashes, Days of Silence and Mistrust",2019/04/03,world
Cuomo Promised Transparency at the M.T.A. Then Its Leader Was Confirmed While You Slept.,2019/04/03,nyregion
Spared From the Shredder (for Now): ‘Priceless’ Bank Records of Old New York,2019/04/03,nyregion
Media Companies Take a Big Gamble on Apple,2019/04/03,business
Japan Stumbles as China’s Growth Engine Slows,2019/04/03,business
Woman From China Carrying Malware Arrested After Entering Mar-a-Lago,2019/04/03,us
"Trump Lashes Out Again at Puerto Rico, Bewildering the Island",2019/04/03,us
"Bald Eagles, Symbol of America, Are Dumping Trash on the Seattle Suburbs",2019/04/03,us
Hannah Gadsby on Autism and the Risk of Failing After ‘Nanette’,2019/04/03,arts
"Undercover and Overworked: Inside the New, Nerve-Racking World of Catering",2019/04/03,dining
"The TV Chef Rocco DiSpirito Returns, With a Quieter Touch",2019/04/03,dining
An Early Crush of Injuries Tests the Yankees’ Spring Optimism,2019/04/03,sports
Some on Mueller’s Team Say Report Was More Damaging Than Barr Revealed,2019/04/04,us
Scientists Thought They Had Measles Cornered. They Were Wrong.,2019/04/04,health
Malware Arrest Exposes Security Gaps at Trump’s Mar-a-Lago Club,2019/04/04,us
Alabama’s Gruesome Prisons: Report Finds Rape and Murder at All Hours,2019/04/04,us
Trump’s Takeover of the Republican Party Is Almost Complete,2019/04/04,us
"Joe Biden, in Video, Says He Will Be ‘More Mindful’ of Personal Space",2019/04/04,us
Felicity Huffman and Lori Loughlin Appear in Court as College Admissions Scandal Rewrites Lives,2019/04/04,us
Lori Lightfoot Promised Change as Chicago Mayor. Now Comes the Hard Part.,2019/04/04,us
Egypt’s Soap Opera Clampdown Extends el-Sisi’s Iron Grip to TV,2019/04/04,world
Theresa May and Jeremy Corbyn Open Treacherous Brexit Negotiation,2019/04/04,world
